daily,weekday,time,tweet
2014/12/14,sun,12:00,47
2014/12/14,sun,14:00,31
2014/12/14,sun,16:00,43
2014/12/14,sun,18:00,86
2014/12/14,sun,20:00,92
2014/12/14,sun,22:00,74
2014/12/15,mon,0:00,74
2014/12/15,mon,2:00,41
2014/12/15,mon,4:00,12
2014/12/15,mon,6:00,6
2014/12/15,mon,8:00,11
2014/12/15,mon,10:00,41
2014/12/15,mon,12:00,39
2014/12/15,mon,14:00,44
2014/12/15,mon,16:00,33
2014/12/15,mon,18:00,117
2014/12/15,mon,20:00,240
2014/12/15,mon,22:00,364
2014/12/16,tue,0:00,297
2014/12/16,tue,2:00,118
2014/12/16,tue,4:00,22
2014/12/16,tue,6:00,10
2014/12/16,tue,8:00,38
2014/12/16,tue,10:00,59
2014/12/16,tue,12:00,39
2014/12/16,tue,14:00,63
2014/12/16,tue,16:00,52
2014/12/16,tue,18:00,86
2014/12/16,tue,20:00,155
2014/12/16,tue,22:00,181
2014/12/17,wed,0:00,188
2014/12/17,wed,2:00,81
2014/12/17,wed,4:00,22
2014/12/17,wed,6:00,13
2014/12/17,wed,8:00,22
2014/12/17,wed,10:00,41
2014/12/17,wed,12:00,36
2014/12/17,wed,14:00,40
2014/12/17,wed,16:00,37
2014/12/17,wed,18:00,102
2014/12/17,wed,20:00,354
2014/12/17,wed,22:00,497
2014/12/18,thu,0:00,335
2014/12/18,thu,2:00,134
2014/12/18,thu,4:00,16
2014/12/18,thu,6:00,15
2014/12/18,thu,8:00,26
2014/12/18,thu,10:00,64
2014/12/18,thu,12:00,53
2014/12/18,thu,14:00,61
2014/12/18,thu,16:00,49
2014/12/18,thu,18:00,147
2014/12/18,thu,20:00,325
2014/12/18,thu,22:00,395
2014/12/19,fri,0:00,332
2014/12/19,fri,2:00,163
2014/12/19,fri,4:00,35
2014/12/19,fri,6:00,9
2014/12/19,fri,8:00,38
2014/12/19,fri,10:00,56
2014/12/19,fri,12:00,58
2014/12/19,fri,14:00,55
2014/12/19,fri,16:00,52
2014/12/19,fri,18:00,140
2014/12/19,fri,20:00,330
2014/12/19,fri,22:00,384
2014/12/20,sat,0:00,291
2014/12/20,sat,2:00,178
2014/12/20,sat,4:00,46
2014/12/20,sat,6:00,8
2014/12/20,sat,8:00,16
2014/12/20,sat,10:00,53
2014/12/20,sat,12:00,73
2014/12/20,sat,14:00,96
2014/12/20,sat,16:00,51
2014/12/20,sat,18:00,56
2014/12/20,sat,20:00,47
2014/12/20,sat,22:00,65
2014/12/21,sun,0:00,
2014/12/21,sun,2:00,
2014/12/21,sun,4:00,
2014/12/21,sun,6:00,
2014/12/21,sun,8:00,
2014/12/21,sun,10:00,
2014/12/21,sun,12:00,
2014/12/21,sun,14:00,
2014/12/21,sun,16:00,
2014/12/21,sun,18:00,
2014/12/21,sun,20:00,
2014/12/21,sun,22:00,
2014/12/22,mon,0:00,
2014/12/22,mon,2:00,20
2014/12/22,mon,4:00,12
2014/12/22,mon,6:00,11
2014/12/22,mon,8:00,20
2014/12/22,mon,10:00,43
2014/12/22,mon,12:00,31
2014/12/22,mon,14:00,41
2014/12/22,mon,16:00,48
2014/12/22,mon,18:00,153
2014/12/22,mon,20:00,335
2014/12/22,mon,22:00,337
2014/12/23,tue,0:00,269
2014/12/23,tue,2:00,114
2014/12/23,tue,4:00,52
2014/12/23,tue,6:00,7
2014/12/23,tue,8:00,19
2014/12/23,tue,10:00,42
2014/12/23,tue,12:00,70
2014/12/23,tue,14:00,53
2014/12/23,tue,16:00,74
2014/12/23,tue,18:00,68
2014/12/23,tue,20:00,91
2014/12/23,tue,22:00,104
2014/12/24,wed,0:00,104
2014/12/24,wed,2:00,82
2014/12/24,wed,4:00,11
2014/12/24,wed,6:00,7
2014/12/24,wed,8:00,19
2014/12/24,wed,10:00,36
2014/12/24,wed,12:00,56
2014/12/24,wed,14:00,57
2014/12/24,wed,16:00,66
2014/12/24,wed,18:00,371
2014/12/24,wed,20:00,549
2014/12/24,wed,22:00,539
2014/12/25,thu,0:00,493
2014/12/25,thu,2:00,244
2014/12/25,thu,4:00,61
2014/12/25,thu,6:00,19
2014/12/25,thu,8:00,70
2014/12/25,thu,10:00,127
2014/12/25,thu,12:00,94
2014/12/25,thu,14:00,110
2014/12/25,thu,16:00,79
2014/12/25,thu,18:00,324
2014/12/25,thu,20:00,664
2014/12/25,thu,22:00,644
2014/12/26,fri,0:00,396
2014/12/26,fri,2:00,377
2014/12/26,fri,4:00,70
2014/12/26,fri,6:00,20
2014/12/26,fri,8:00,46
2014/12/26,fri,10:00,75
2014/12/26,fri,12:00,80
2014/12/26,fri,14:00,79
2014/12/26,fri,16:00,61
2014/12/26,fri,18:00,51
2014/12/26,fri,20:00,85
2014/12/26,fri,22:00,59
2014/12/27,sat,0:00,68
2014/12/27,sat,2:00,68
2014/12/27,sat,4:00,15
2014/12/27,sat,6:00,7
2014/12/27,sat,8:00,12
2014/12/27,sat,10:00,20
2014/12/27,sat,12:00,27
2014/12/27,sat,14:00,31
2014/12/27,sat,16:00,30
2014/12/27,sat,18:00,29
2014/12/27,sat,20:00,23
2014/12/27,sat,22:00,34
