year,month,km
2008,8,21.22
2008,9,5.05
2008,10,12.29
2008,11,26.63
2008,12,0
2009,1,0
2009,2,5.05
2009,3,25.87
2009,4,5.03
2009,5,20.93
2009,6,17.68
2009,7,20.42
2009,8,5.02
2009,9,10.04
2009,10,15.02
2009,11,10.06
2009,12,0
2010,1,0
2010,2,30.11
2010,3,0
2010,4,5.01
2010,5,5.02
2010,6,15.07
2010,7,10.03
2010,8,10.03
2010,9,20.04
2010,10,5.03
2010,11,5.04
2010,12,5.02
2011,1,0
2011,2,0
2011,3,10.04
2011,4,10.04
2011,5,5.02
2011,6,15.05
2011,7,0
2011,8,10.06
2011,9,0
2011,10,0
2011,11,16.07
2011,12,0
2012,1,0
2012,2,8.05
2012,3,0
2012,4,17.4
2012,5,0
2012,6,0
2012,7,0
2012,8,0
2012,9,0
2012,10,0
2012,11,0
2012,12,0
2013,1,10.09
2013,2,5.02
2013,3,0
2013,4,14.04
2013,5,10.03
2013,6,15.05
2013,7,15.52
2013,8,19.37
2013,9,27.11
2013,10,14.19
2013,11,18.09
2013,12,44.41
2014,1,15.28
2014,2,7.45
2014,3,23.07
2014,4,40.16
2014,5,31.68
2014,6,25.11
2014,7,14.39
2014,8,19.68
2014,9,5.1
2014,10,6.41
2014,11,6.63
2014,12,6.9
2015,1,17.16
2015,2,14.43
2015,3,15.57
2015,4,15.7
2015,5,13.63
2015,6,13.46
2015,7,6.04
2015,8,14.61
2015,9,6.15
2015,10,6.1
